Date de la commande,Numéro de la commande,Groupe de comptes,Numéro de commande,Quantité de la commande,Devise,Sous-total de la commande,Traitement et expédition de la commande,Promotion sur la commande,Taxe sur la commande,Total net de la commande,État de la commande,Approbateur,État de réception de la commande,Quantité de commandes reçues,Utilisateur du compte,E-mail de l'utilisateur du compte,Pays/Région du numéro de TVA de l'utilisateur du compte,Numéro d'enregistrement à la TVA de l'utilisateur du compte,Date d'expédition,État de l'expédition,Statut de livraison,Date de livraison prévue,Numéro de suivi du transporteur,Quantité expédiée,Adresse d'expédition,Sous-total de l'expédition,Traitement et envoi de l'expédition,Promotion sur l'expédition,Taxe d'expédition,Total net de l'expédition,Pays/Région d'expédition,Sous-total de l'expédition,Nom du transporteur,Numéro de la facture de TVA,Emballage cadeau de l'expédition,Catégorie de produit interne à Amazon,ASIN,Titre,UNSPSC,Segment,FAMILLE,CLASSE,PRODUIT,Code de la marque,Marque,Fabricant,Numéro de stock national,Numéro de modèle de l’article,Référence,État du produit,Conformité de l'entreprise,PPU répertorié,PPU d'achat,Quantité d'articles,Sous-total de l'article,Traitement et expédition de l'article,Promotion sur l'article,Taxe sur l'article,Total net de l'article,Numéro de la ligne de commande,Programme de remise,Remise sur le prix appliquée (€ de réduction),Remise sur le prix appliquée (% de réduction),Taux de TVA sur le sous-total de l'article,Emballage cadeau de l'article,Sous-total de l'article,Statut de réception ,Quantité reçue,Date de réception,Nom du destinataire,E-mail du destinataire,Code GL,Service,Centre de coût,Code du projet,Emplacement,Champ personnalisé 1,Nom du vendeur,Identifiants du vendeur,Pays d'enregistrement à la TVA du vendeur,Numéro d'enregistrement à la TVA du vendeur
21/03/2023,408-8644957-2648365,M.S. Garuda Technologies Ltd.,CA-10012084,1,EUR,"66,66","0,00","0,00","0,00","66,66",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,22/03/2023,Expédié,Livré,24/03/2023,6G58277008601,1,"(CA-10012084-1)Anass El Khiati, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","66,66","0,00","","0,00","66,66",DE,"66,66",La Poste,INV-DE-901100195-2023-50,,Health and Beauty,B09CWWQD53,"MySmile Hydropulseur dentaire sans fil puissant avec 5 modes d'affichage OLED, 8 embouts de jet remplaçables et réservoir d'eau amovible de 350 ml p",="42151600","Matériel, accessoires et fournitures à usage médical",Matériel et fournitures dentaires,Instruments et dispositifs dentaires et de sous-spécialité,Instruments et dispositifs dentaires et de sous-spécialité,,mysmile,MySmile,,,MS-35-10,Neuf,Restreint,"66,66","66,66",1,"66,66","0,00","","0,00","66,66",="29908",,,,0%,"","66,66",,,N/A,,,,,,,,,EZGO Group Inc,,DE,DE329754794
21/03/2023,408-2661628-2337945,M.S. Garuda Technologies Ltd.,CA-10012081,1,EUR,"17,49","0,00","0,00","0,00","17,49",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,23/03/2023,6G57128899122,1,"(CA-10012081-2)Majid TAZI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","17,49","0,00","","0,00","17,49",IT,"17,49",La Poste,IT23-61915I-192,,Wireless,B0B569ZWM6,"ESR HaloLock Anneau Support Magnétique pour Téléphone, Compatible avec Support MagSafe pour Téléphone, Grip pour Téléphone Compatible avec Les ",="43191601","Composants, fournitures et équipements informatiques et de communication",Appareils et accessoires de communication,Accessoires et pièces détachées pour appareils de communication personnels,Coques pour téléphone mobile,,ESR,Electronic Silk Road Corp,,,="1",Neuf,Restreint,"17,49","17,49",1,"17,49","0,00","","0,00","17,49",="29903",,,,0%,"","17,49",,,N/A,,,,,,,,,Shenzhen Chusejingyao Keji Youxiangongsi,,IT,IT09200021211
21/03/2023,408-4537567-3480347,M.S. Garuda Technologies Ltd.,CA-10012081,1,EUR,"49,99","0,00","0,00","0,00","49,99",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,22/03/2023,6G58077043468,1,"(CA-10012081-1)Majid TAZI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","49,99","0,00","","0,00","49,99",,"49,99",La Poste,FR3149ZABEY,,Wireless,B0B466YTT3,"Anker Batterie Externe magnétique 622 (MagGo), Chargeur Portable sans Fil magnétique Pliable et USB-C pour iPhone 14/13/12 Series 5000 mAh, Gris Int",="26111700",Machines et accessoires pour la production et la distribution d'électricité,"Batteries, générateurs et transmission cinétique",Batteries et accessoires ,Batteries et accessoires ,,Anker,Anker,,A1614,A1614011,Neuf,,"49,99","49,99",1,"49,99","0,00","","0,00","49,99",="29902",,,,0%,"","49,99",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
21/03/2023,408-3926615-0385164,M.S. Garuda Technologies Ltd.,CA-10012081,1,EUR,"20,82","0,00","0,00","0,00","20,82",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,22/03/2023,="534000021219303935",1,"(CA-10012081-3)Majid TAZI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","20,82","0,00","","0,00","20,82",FR,"20,82",PAACK,INV-FR-1200461915-2023-81,,CE,B0B38P9TF8,"ESR HaloLock Support Magnétique pour Téléphone de Voiture, Compatible avec MagSafe, Compatible avec iPhone 14/14 Plus/14 Pro/14 Pro Max et Series 1",="43191601","Composants, fournitures et équipements informatiques et de communication",Appareils et accessoires de communication,Accessoires et pièces détachées pour appareils de communication personnels,Coques pour téléphone mobile,ESR1B,ESR,Electronic Silk Road Corp,,holder_carcx_xhmegrey_bdc_eum,holder_carcx_xhmegrey_bdc_eum,Neuf,Restreint,"30,99","20,82",1,"20,82","0,00","","0,00","20,82",="29904",,,,0%,"","20,82",,,N/A,,,,,,,,,Shenzhen Chusejingyao Keji Youxiangongsi,,FR,FR13851783449
21/03/2023,408-1868215-7355532,M.S. Garuda Technologies Ltd.,CA-10012081,1,EUR,"22,49","0,00","0,00","0,00","22,49",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,22/03/2023,6G58077050718,1,"(CA-10012081-4)Majid TAZI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","22,49","0,00","","0,00","22,49",FR,"22,49",La Poste,INV-FR-1200461915-2023-80,,Luggage,B09K75L2L1,"ESR HaloLock Porte-Cartes Support en Cuir Végan, Porte Cartes MagSafe et Support Ajustable, Compatible avec iPhone 14/13/12, 3 Fentes pour Cartes, Pa",="43191601","Composants, fournitures et équipements informatiques et de communication",Appareils et accessoires de communication,Accessoires et pièces détachées pour appareils de communication personnels,Coques pour téléphone mobile,,ESR,Electronic Silk Road Corp,,cxzj_wallet_bk_acs_odeu,cxzj_wallet_bk_acs_odeu,Neuf,Restreint,"22,49","22,49",1,"22,49","0,00","","0,00","22,49",="29905",,,,0%,"","22,49",,,N/A,,,,,,,,,Shenzhen Chusejingyao Keji Youxiangongsi,,FR,FR13851783449
21/03/2023,405-3892010-7901931,Purchasing,CA-10012077-4,1,EUR,"57,82","0,01","0,00","3,18","61,01",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,28/03/2023,8N05360806996,1,"CA-10012077-4 FZZT, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","57,82","0,01","","3,18","61,01",,"57,83",Colissimo,INV-FR-113735821-2023-694,,Book,="2070109933",Psychologie,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,PLEB3,GALLIMARD,Gallimard,,,,D'occasion - Bon,Restreint,"63,03","57,82",1,"57,82","0,01","","3,18","61,01",,,,,5.5%,"","57,83",,,N/A,,,,,,,,,Guivarch Erwan,,FR,FR96484039631
21/03/2023,405-4251335-1897153,Purchasing,CA-10012077-3,1,EUR,"76,15","6,10","0,00","0,00","82,25",En attente,,,,Clickapporter,purchasing@clickapporter.com,,,21/03/2023,Expédié,Sans objet,04/04/2023,,1,"CA-10012077-3 FZZT, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","76,15","6,10","","0,00","82,25",,"82,25",La Poste,DOC-113735581-2023-63,,Book,="2070107965","Zoologie, tome 4 : Tétrapodes - Domaines faunistiques - Zoogéographie",="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,PLEB3,GALLIMARD,Gallimard,,,A-238-659,D'occasion - Comme neuf,Restreint,"51,18","76,15",1,"76,15","6,10","","0,00","82,25",,,,,0%,"","82,25",,,N/A,,,,,,,,,livresa snc,,,
21/03/2023,405-2549425-3206757,Purchasing,CA-10012077-1,1,EUR,"22,48","2,95","0,00","0,00","25,43",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Sans objet,07/04/2023,MHI-0386-83694445,1,"CA-10012077-1 FZZT, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","22,48","2,95","","0,00","25,43",,"25,43",MHI,INV-GB-117597861-2023-169,,Book,="2905388331",Génies de la Renaissance italienne : L'homme en jeu (Histoire universelle de la peinture .),="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,,,Diff. Interlivres,,,,D'occasion - Très bon,Restreint,"22,48","22,48",1,"22,48","2,95","","0,00","25,43",,,,,0%,"","25,43",,,N/A,,,,,,,,,Better World Books Ltd,,GB,GB938775170
21/03/2023,405-7738062-2289924,Purchasing,CA-10012078-5,1,EUR,"4,47","2,99","0,00","0,00","7,46",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Sans objet,07/04/2023,,1,"CA-10012078-5 FZZT, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","4,47","2,99","","0,00","7,46",,"7,46",Asendia,,,Book,="2130456502",Psychologie,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,PUFA3,PUF,Presses Universitaires de France - PUF,,,,D'occasion - Très bon,Restreint,"28,91","4,47",1,"4,47","2,99","","0,00","7,46",,,,,0%,"","7,46",,,N/A,,,,,,,,,momox SE,,,
21/03/2023,405-3333495-4807502,Purchasing,CA-10012078-3,1,EUR,"13,74","4,99","0,00","0,00","18,73",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Sans objet,29/03/2023,ZE0000193115,1,"CA-10012078-3 FZZT, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","13,74","4,99","","0,00","18,73",,"18,73",Colis Prive,INV-BE-112698811-2023-1314,,Book,="2913062512",Evolution de la clinique psychanalytique,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,LEAB3,ESPRIT DU TEMPS,L'Esprit du Temps,,,,Neuf,Restreint,"20,85","13,74",1,"13,74","4,99","","0,00","18,73",,,,,0%,"","18,73",,,N/A,,,,,,,,,Bibliopolis,,BE,BE0885965831
21/03/2023,405-2356452-8825117,Purchasing,CA-10012078-1,1,EUR,"19,90","29,85","0,00","7,06","56,81",Traitement en attente,,,,Clickapporter,purchasing@clickapporter.com,,,21/03/2023,Bientôt expédié,,05/04/2023,,1,"CA-10012078-1 FZZT, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","19,90","29,85","","7,06","56,81",,"49,75",,,,Book,="2754104275",L'Homme en jeu. Les génies de la Renaissance,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,HAZB3,Hazan,Hazan,,,,Neuf,Restreint,"19,95","19,90",1,"19,90","29,85","","7,06","56,81",,,,,,"","49,75",,,N/A,,,,,,,,,EDUC@TOR,,,
21/03/2023,408-1604263-3481143,M.S. Garuda Technologies Ltd.,CA-10012079,2,EUR,"22,88","0,00","0,00","0,00","22,88",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,22/03/2023,6G58564415549,2,"(CA-10012079-1)Siman Otmani, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","22,88","0,00","","0,00","22,88",FR,"22,88",La Poste,INV-FR-118580281-2023-13405,,Toy,B085DBMS88,Ultra Pro Lot de 1000 pochettes standard pour cartes Penny - Pour cartes à collectionner comme Pokemon Magic - Taille standard - Transparent,="44122000","Équipement de bureau, accessoires et fournitures",Fournitures de bureau,"Chemises, dossiers et classeurs","Chemises, dossiers et classeurs",,Ultra Pro,Ultra PRO International,,E-81126,E-81126,Neuf,Restreint,"11,44","11,44",2,"22,88","0,00","","0,00","22,88",="29898",,,,0%,"","22,88",,,N/A,,,,,,,,,Toys for Fun GmbH,,FR,FR14841934425
20/03/2023,408-8528838-1433106,M.S. Garuda Technologies Ltd.,CA-10012077,1,EUR,"31,01","0,00","0,00","0,00","31,01",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,23/03/2023,6G57947271802,1,"(CA-10012077-2)Fatim Zohra Zemmouri Tazi, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","31,01","0,00","","0,00","31,01",DE,"31,01",La Poste,DE31KJ230AEUI,,Kitchen,B09KMG4L21,Storchenbeck Tabouret de salle de bain pour enfant - Tabouret de toilette convertible en tournant de 14 cm à 18 cm de hauteur - Pliable - Pour enfant,="56112100",Meubles et ameublements,Mobilier commercial et industriel,Sièges,Sièges,,storchenbeck,Storchenbeck GmbH,,Schwarz Grau,STB001STB002,Neuf,Restreint,"31,01","31,01",1,"31,01","0,00","","0,00","31,01",="29890",,,,0%,"","31,01",,,N/A,,,,,,,,,Amazon EU S.a.r.L.,,DE,DE814584193
20/03/2023,408-6849026-7946768,M.S. Garuda Technologies Ltd.,CA-10012078,1,EUR,"36,97","0,00","0,00","0,00","36,97",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,22/03/2023,="51001367446093500",1,"(CA-10012078-4)Fatim Zohra Zemmouri Tazi, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","36,97","0,00","","0,00","36,97",,"36,97",Colis Privé,FR313ZIABEY,,Book,="2130564607",Psychanalyse,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,PUFA3,PUF,PUF,,,,Neuf,,"36,97","36,97",1,"36,97","0,00","","0,00","36,97",="29896",,,,0%,"","36,97",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
